鄉鎮市區,交易年月日,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,單價元平方公尺,縣市,住宅面積,屋齡_ADD,X,Y,移轉層次_ADD,總樓層數_ADD
淡水區,1080108,住宅大樓(11層含以上有電梯),2,2,1,65009,新北市,81.219,3,293906.951,2786853.444,6,14
淡水區,1080819,住宅大樓(11層含以上有電梯),4,2,2,68755,新北市,167.260,6,293031.897,2787280.469,1,11
深坑區,1080614,住宅大樓(11層含以上有電梯),2,1,1,90090,新北市,82.140,26,312518.580,2766078.818,5,14
深坑區,1081005,住宅大樓(11層含以上有電梯),2,2,1,111509,新北市,86.630,1,312253.544,2766263.225,4,11
深坑區,1080908,公寓(5樓含以下無電梯),3,1,1,85096,新北市,82.260,44,310698.793,2766360.674,3,4
深坑區,1080226,公寓(5樓含以下無電梯),3,1,1,34505,新北市,38.690,41,310494.558,2766326.852,4,4
深坑區,1080423,住宅大樓(11層含以上有電梯),2,1,1,91349,新北市,74.440,24,310254.070,2766441.043,9,12
深坑區,1080723,公寓(5樓含以下無電梯),3,2,1,81388,新北市,93.380,21,314493.994,2767225.469,1,5
深坑區,1080319,透天厝,4,2,4,131455,新北市,106.500,41,313817.112,2767450.131,0,2
深坑區,1080526,華廈(10層含以下有電梯),3,2,2,65395,新北市,91.750,23,313136.750,2767785.012,2,10
深坑區,1080727,華廈(10層含以下有電梯),2,2,1,77711,新北市,84.930,26,312688.321,2766274.546,3,7
深坑區,1080203,公寓(5樓含以下無電梯),0,0,0,54729,新北市,91.360,39,312165.700,2766166.316,2,5
深坑區,1081006,透天厝,4,2,3,26091,新北市,95.820,44,312705.973,2767029.430,0,2
深坑區,1080719,公寓(5樓含以下無電梯),6,4,5,52498,新北市,247.630,28,312817.053,2765877.339,1,5
深坑區,1080720,公寓(5樓含以下無電梯),2,1,1,30968,新北市,71.040,37,310628.583,2766928.720,4,5
深坑區,1081006,公寓(5樓含以下無電梯),3,0,1,30968,新北市,71.040,37,310628.583,2766928.720,4,5
